timestamp,open,high,low,close,volume
2025-01-02T14:30:00Z,18200.00,18205.00,18198.00,18202.00,950
2025-01-02T14:31:00Z,18202.00,18208.00,18200.00,18206.00,1100
2025-01-02T14:32:00Z,18206.00,18210.00,18203.00,18204.00,1000
2025-01-02T14:33:00Z,18204.00,18207.00,18199.00,18200.00,1080
2025-01-02T14:34:00Z,18200.00,18203.00,18196.00,18198.00,1010
2025-01-02T14:35:00Z,18198.00,18201.00,18194.00,18196.00,1200
2025-01-02T14:36:00Z,18196.00,18200.00,18192.00,18194.00,980
2025-01-02T14:37:00Z,18194.00,18198.00,18190.00,18192.00,1120
2025-01-02T14:38:00Z,18192.00,18199.00,18190.00,18197.00,1400
2025-01-02T14:39:00Z,18197.00,18203.00,18195.00,18201.00,1500
