timestamp,open,high,low,close,volume
2025-01-02T14:30:00Z,5100.00,5101.00,5099.75,5100.50,1000
2025-01-02T14:31:00Z,5100.50,5101.25,5100.25,5101.00,1200
2025-01-02T14:32:00Z,5101.00,5101.50,5100.50,5100.75,900
2025-01-02T14:33:00Z,5100.75,5101.00,5100.00,5100.25,1100
2025-01-02T14:34:00Z,5100.25,5100.75,5099.75,5100.00,1050
2025-01-02T14:35:00Z,5100.00,5100.50,5099.50,5099.75,1300
2025-01-02T14:36:00Z,5099.75,5100.25,5099.25,5099.50,980
2025-01-02T14:37:00Z,5099.50,5100.00,5099.00,5099.25,1020
2025-01-02T14:38:00Z,5099.25,5100.25,5099.00,5100.00,1500
2025-01-02T14:39:00Z,5100.00,5100.75,5099.75,5100.50,1600
